"simple_moving_avg_est"
0
0
0
0.26
0.51
0.77
0.77
0.89
1.15
1.28
1.02
0.77
0.51
0.77
0.77
0.51
0.38
0.64
0.77
0.77
0.64
1.15
1.53
1.91
1.79
2.55
3.19
3.45
3.19
3.32
3.45
4.47
3.83
3.57
3.7
3.45
3.06
2.81
1.91
1.91
1.66
1.66
1.53
1.53
1.28
1.4
1.4
1.28
0.77
0.77
0.64
0.64
0.26
0
0
0
0.13
0.26
0.26
0.26
0.26
0.26
0.26
0.13
0
0
0
0
0
0
0.13
0.13
0.13
0.13
0.26
0.26
0.26
0.13
0.13
0.13
0.13
0
0.26
0
0
0
